,State,Year,Data
745,New Jersey,1974,1981582.0
746,New Mexico,1974,476488.0
747,Nevada,1974,233766.0
748,New York,1974,4128073.0
749,Ohio,1974,4198106.0
750,Oklahoma,1974,1064042.0
751,Oregon,1974,837588.0
752,Pennsylvania,1974,4124018.0
753,Rhode Island,1974,215591.0
754,South Carolina,1974,858642.0
755,South Dakota,1974,172589.0
756,Tennessee,1974,1578503.0
757,Texas,1974,8093721.0
758,Utah,1974,473666.0
759,Virginia,1974,1382349.0
760,Vermont,1974,116837.0
761,Washington,1974,1494231.0
762,Wisconsin,1974,1341660.0
763,West Virginia,1974,841728.0
764,Wyoming,1974,278885.0
765,Alaska,1975,232172.0
766,Alabama,1975,1515130.0
767,Arkansas,1975,785659.0
768,Arizona,1975,660004.0
769,California,1975,6032845.0
770,Colorado,1975,784438.0
771,Connecticut,1975,689513.0
772,District of Columbia,1975,163161.0
773,Delaware,1975,218797.0
774,Florida,1975,1939837.0
775,Georgia,1975,1489772.0
776,Hawaii,1975,214378.0
777,Iowa,1975,942050.0
778,Idaho,1975,358858.0
779,Illinois,1975,3860591.0
780,Indiana,1975,2377767.0
781,Kansas,1975,924911.0
782,Kentucky,1975,1278425.0
783,Louisiana,1975,3107626.0
784,Massachusetts,1975,1420313.0
785,Maryland,1975,1069386.0
786,Maine,1975,324651.0
787,Michigan,1975,2865742.0
788,Minnesota,1975,1246041.0
789,Missouri,1975,1412553.0
790,Mississippi,1975,771990.0
791,Montana,1975,345409.0
792,North Carolina,1975,1458782.0
793,North Dakota,1975,206515.0
794,Nebraska,1975,525658.0
795,New Hampshire,1975,201882.0
796,New Jersey,1975,1883779.0
797,New Mexico,1975,459396.0
798,Nevada,1975,238093.0
799,New York,1975,3925249.0
800,Ohio,1975,3979902.0
801,Oklahoma,1975,1070091.0
802,Oregon,1975,867638.0
803,Pennsylvania,1975,3913887.0
804,Rhode Island,1975,206221.0
805,South Carolina,1975,840874.0
806,South Dakota,1975,181948.0
807,Tennessee,1975,1614225.0
808,Texas,1975,7511439.0
809,Utah,1975,480756.0
810,Virginia,1975,1358994.0
811,Vermont,1975,114356.0
812,Washington,1975,1458166.0
813,Wisconsin,1975,1341892.0
814,West Virginia,1975,790364.0
815,Wyoming,1975,277367.0
816,Alaska,1976,254649.0
817,Alabama,1976,1551806.0
818,Arkansas,1976,840830.0
819,Arizona,1976,691884.0
820,California,1976,6186312.0
821,Colorado,1976,818799.0
