,State,Year,Data
545,Ohio,1970,44149
546,Oklahoma,1970,21730
547,Oregon,1970,371350
548,Pennsylvania,1970,67525
549,Rhode Island,1970,5268
550,South Carolina,1970,65064
551,South Dakota,1970,70185
552,Tennessee,1970,138417
553,Texas,1970,62757
554,Utah,1970,10079
555,Virginia,1970,62711
556,Vermont,1970,14717
557,Washington,1970,796121
558,Wisconsin,1970,58313
559,West Virginia,1970,21152
560,Wyoming,1970,12129
561,Alaska,1971,9094
562,Alabama,1971,158182
563,Arkansas,1971,53579
564,Arizona,1971,74136
565,California,1971,533790
566,Colorado,1971,25526
567,Connecticut,1971,20206
568,District of Columbia,1971,116
569,Delaware,1971,7673
570,Florida,1971,49968
571,Georgia,1971,109007
572,Hawaii,1971,1283
573,Iowa,1971,16122
574,Idaho,1971,89445
575,Illinois,1971,40628
576,Indiana,1971,27156
577,Kansas,1971,3941
578,Kentucky,1971,61912
579,Louisiana,1971,41912
580,Massachusetts,1971,61247
581,Maryland,1971,49264
582,Maine,1971,55423
583,Michigan,1971,53960
584,Minnesota,1971,33768
585,Missouri,1971,30407
586,Mississippi,1971,32841
587,Montana,1971,107251
588,North Carolina,1971,128148
589,North Dakota,1971,34285
590,Nebraska,1971,15845
591,New Hampshire,1971,24733
592,New Jersey,1971,26621
593,New Mexico,1971,4965
594,Nevada,1971,18651
595,New York,1971,326609
596,Ohio,1971,43520
597,Oklahoma,1971,21321
598,Oregon,1971,419311
599,Pennsylvania,1971,60573
600,Rhode Island,1971,4851
601,South Carolina,1971,78568
602,South Dakota,1971,82558
603,Tennessee,1971,153090
604,Texas,1971,60471
605,Utah,1971,12615
606,Virginia,1971,66364
607,Vermont,1971,14594
608,Washington,1971,817275
609,Wisconsin,1971,61793
610,West Virginia,1971,22281
611,Wyoming,1971,15331
612,Alaska,1972,8673
613,Alabama,1972,164946
614,Arkansas,1972,53917
615,Arizona,1972,75189
616,California,1972,472312
617,Colorado,1972,22935
618,Connecticut,1972,22712
619,District of Columbia,1972,118
620,Delaware,1972,8190
621,Florida,1972,54389
622,Georgia,1972,114745
623,Hawaii,1972,1491
624,Iowa,1972,17235
625,Idaho,1972,92776
626,Illinois,1972,41490
627,Indiana,1972,30826
628,Kansas,1972,5702
629,Kentucky,1972,66566
630,Louisiana,1972,44819
631,Massachusetts,1972,59302
632,Maryland,1972,56117
633,Maine,1972,59882
634,Michigan,1972,56203
635,Minnesota,1972,35695
636,Missouri,1972,29355
637,Mississippi,1972,32432
638,Montana,1972,104348
639,North Carolina,1972,135756
640,North Dakota,1972,32507
641,Nebraska,1972,16822
642,New Hampshire,1972,26131
643,New Jersey,1972,29554
644,New Mexico,1972,4746
645,Nevada,1972,17274
646,New York,1972,347985
647,Ohio,1972,44940
